"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2016","1,594.43","1,594.30","1,606.72","1,594.30","0","0.01"
"Oct 13, 2016","1,594.30","1,599.25","1,599.25","1,580.90","0","-0.31"
"Oct 12, 2016","1,599.25","1,597.53","1,603.88","1,594.54","0","0.11"
"Oct 11, 2016","1,597.53","1,617.74","1,617.74","1,591.68","0","-1.25"
"Oct 10, 2016","1,617.74","1,610.42","1,622.27","1,610.42","0","0.45"
"Oct 07, 2016","1,610.42","1,615.74","1,619.40","1,603.83","0","-0.33"
"Oct 06, 2016","1,615.74","1,615.68","1,617.37","1,607.97","0","0.00"
"Oct 05, 2016","1,615.68","1,608.86","1,618.81","1,608.86","0","0.42"
"Oct 04, 2016","1,608.86","1,616.86","1,620.00","1,604.04","0","-0.49"
"Oct 03, 2016","1,616.86","1,621.87","1,621.87","1,612.05","0","-0.31"
"Sep 30, 2016","1,621.87","1,609.12","1,627.05","1,609.12","0","0.79"
"Sep 29, 2016","1,609.12","1,624.27","1,625.25","1,604.78","0","-0.93"
"Sep 28, 2016","1,624.27","1,615.74","1,625.04","1,609.60","0","0.53"
"Sep 27, 2016","1,615.74","1,605.55","1,616.60","1,602.26","0","0.63"
"Sep 26, 2016","1,605.55","1,619.24","1,619.24","1,604.79","0","-0.85"
"Sep 23, 2016","1,619.24","1,628.26","1,628.26","1,618.69","0","-0.55"
"Sep 22, 2016","1,628.26","1,617.60","1,630.17","1,617.60","0","0.66"
"Sep 21, 2016","1,617.60","1,600.21","1,619.08","1,599.97","0","1.09"
"Sep 20, 2016","1,600.21","1,599.89","1,608.52","1,599.71","0","0.02"
"Sep 19, 2016","1,599.89","1,599.65","1,610.55","1,597.37","0","0.02"
"Sep 16, 2016","1,599.65","1,605.65","1,605.65","1,593.78","0","-0.37"
"Sep 15, 2016","1,605.65","1,589.65","1,608.64","1,587.13","0","1.01"
"Sep 14, 2016","1,589.65","1,590.53","1,601.19","1,585.30","0","-0.06"
"Sep 13, 2016","1,590.53","1,614.51","1,614.51","1,585.36","0","-1.49"
"Sep 12, 2016","1,614.51","1,591.30","1,617.66","1,584.70","0","1.46"
"Sep 09, 2016","1,591.30","1,631.31","1,631.31","1,591.30","0","-2.45"
"Sep 08, 2016","1,631.31","1,635.05","1,635.05","1,628.70","0","-0.23"
"Sep 07, 2016","1,635.05","1,634.99","1,636.21","1,629.69","0","0.00"
"Sep 06, 2016","1,634.99","1,630.16","1,635.03","1,626.48","0","0.30"
"Sep 02, 2016","1,630.16","1,623.18","1,633.66","1,623.18","0","0.43"
"Sep 01, 2016","1,623.18","1,622.89","1,625.14","1,612.85","0","0.02"
"Aug 31, 2016","1,622.89","1,626.61","1,626.61","1,615.59","0","-0.23"
"Aug 30, 2016","1,626.61","1,629.60","1,631.12","1,622.31","0","-0.18"
"Aug 29, 2016","1,629.60","1,621.23","1,632.01","1,621.23","0","0.52"
"Aug 26, 2016","1,621.23","1,623.87","1,635.20","1,614.73","0","-0.16"
"Aug 25, 2016","1,623.87","1,625.82","1,628.76","1,621.75","0","-0.12"
"Aug 24, 2016","1,625.82","1,634.52","1,634.52","1,622.73","0","-0.53"
"Aug 23, 2016","1,634.52","1,631.23","1,639.34","1,631.23","0","0.20"
"Aug 22, 2016","1,631.23","1,631.78","1,632.95","1,626.22","0","-0.03"
"Aug 19, 2016","1,631.78","1,634.07","1,634.07","1,625.25","0","-0.14"
"Aug 18, 2016","1,634.07","1,630.51","1,634.07","1,629.13","0","0.22"
"Aug 17, 2016","1,630.51","1,627.74","1,631.13","1,620.28","0","0.17"
"Aug 16, 2016","1,627.74","1,636.89","1,636.89","1,627.73","0","-0.56"
