"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2016","1,512.64","1,499.18","1,512.93","1,499.18","0","0.90"
"May 19, 2016","1,499.18","1,504.53","1,504.53","1,488.68","0","-0.36"
"May 18, 2016","1,504.53","1,508.26","1,515.30","1,494.96","0","-0.25"
"May 17, 2016","1,508.26","1,518.95","1,522.10","1,503.32","0","-0.70"
"May 16, 2016","1,518.95","1,504.32","1,522.96","1,504.32","0","0.97"
"May 13, 2016","1,504.32","1,515.07","1,517.92","1,500.84","0","-0.71"
"May 12, 2016","1,515.07","1,518.07","1,525.91","1,506.69","0","-0.20"
"May 11, 2016","1,518.07","1,533.64","1,533.64","1,518.06","0","-1.02"
"May 10, 2016","1,533.64","1,514.59","1,533.77","1,514.59","0","1.26"
"May 09, 2016","1,514.59","1,512.91","1,518.93","1,509.33","0","0.11"
"May 06, 2016","1,512.91","1,508.36","1,513.23","1,497.81","0","0.30"
"May 05, 2016","1,508.36","1,510.48","1,517.11","1,505.94","0","-0.14"
"May 04, 2016","1,510.48","1,520.91","1,520.91","1,505.64","0","-0.69"
"May 03, 2016","1,520.91","1,537.63","1,537.63","1,513.39","0","-1.09"
"May 02, 2016","1,537.63","1,526.08","1,539.04","1,524.59","0","0.76"
"Apr 29, 2016","1,526.08","1,536.76","1,536.76","1,514.27","0","-0.69"
"Apr 28, 2016","1,536.76","1,555.62","1,556.19","1,533.92","0","-1.21"
"Apr 27, 2016","1,555.62","1,546.28","1,558.22","1,544.35","0","0.60"
"Apr 26, 2016","1,546.28","1,535.80","1,546.30","1,535.80","0","0.68"
"Apr 25, 2016","1,535.80","1,541.46","1,541.46","1,530.58","0","-0.37"
"Apr 22, 2016","1,541.46","1,534.42","1,544.54","1,534.42","0","0.46"
"Apr 21, 2016","1,534.42","1,543.71","1,546.60","1,532.79","0","-0.60"
"Apr 20, 2016","1,543.71","1,542.49","1,550.67","1,536.92","0","0.08"
"Apr 19, 2016","1,542.49","1,536.77","1,546.37","1,534.80","0","0.37"
"Apr 18, 2016","1,536.77","1,527.30","1,536.98","1,519.82","0","0.62"
"Apr 15, 2016","1,527.30","1,524.76","1,527.64","1,521.53","0","0.17"
"Apr 14, 2016","1,524.76","1,529.97","1,529.97","1,521.45","0","-0.34"
