"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2017","1,657.80","1,674.12","1,674.12","1,655.13","0","-0.97"
"Jan 13, 2017","1,674.12","1,663.58","1,678.19","1,663.58","0","0.63"
"Jan 12, 2017","1,663.58","1,673.17","1,673.17","1,647.32","0","-0.57"
"Jan 11, 2017","1,673.17","1,668.59","1,674.64","1,664.25","0","0.27"
"Jan 10, 2017","1,668.59","1,657.19","1,671.43","1,657.19","0","0.69"
"Jan 09, 2017","1,657.19","1,667.75","1,667.75","1,655.56","0","-0.63"
"Jan 06, 2017","1,667.75","1,670.06","1,675.17","1,665.85","0","-0.14"
"Jan 05, 2017","1,670.06","1,682.91","1,682.91","1,662.56","0","-0.76"
"Jan 04, 2017","1,682.91","1,655.73","1,684.20","1,655.73","0","1.64"
"Jan 03, 2017","1,655.72","1,644.56","1,665.66","1,643.99","0","0.68"
"Dec 30, 2016","1,644.56","1,650.84","1,653.37","1,640.83","0","-0.38"
"Dec 29, 2016","1,650.84","1,647.89","1,654.38","1,645.03","0","0.18"
"Dec 28, 2016","1,647.89","1,667.56","1,669.19","1,646.29","0","-1.18"
"Dec 27, 2016","1,667.56","1,660.88","1,671.20","1,660.88","0","0.40"
"Dec 23, 2016","1,660.88","1,653.38","1,660.88","1,653.34","0","0.45"
"Dec 22, 2016","1,653.38","1,665.95","1,666.22","1,650.47","0","-0.75"
"Dec 21, 2016","1,665.95","1,674.52","1,675.96","1,665.95","0","-0.51"
"Dec 20, 2016","1,674.52","1,663.79","1,676.27","1,663.79","0","0.64"
"Dec 19, 2016","1,663.79","1,654.84","1,666.29","1,654.84","0","0.54"
"Dec 16, 2016","1,654.84","1,656.87","1,669.72","1,652.29","0","-0.12"
"Dec 15, 2016","1,656.87","1,648.07","1,666.19","1,644.63","0","0.53"
"Dec 14, 2016","1,648.07","1,670.23","1,671.16","1,645.63","0","-1.33"
"Dec 13, 2016","1,670.23","1,668.81","1,678.05","1,662.39","0","0.09"
